epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,17509.9,1.34737,2.08926,1.23422,1.18788,0.73755,0.25938,0.31433,0.20292,0.69129,0.23293,0.28168,0.09741,1.77695,3.30738,2.23556,1.5938,0.000342666,0.000342666,0.000342666
30,18201.6,1.32331,2.20155,1.22466,1.15447,0.75837,0.26598,0.32142,0.2128,0.52441,0.19361,0.21812,0.08522,1.79549,3.54113,2.2263,1.58019,0.00032744,0.00032744,0.00032744
31,18774.9,1.30661,2.09876,1.16873,1.19063,0.40958,0.33983,0.32787,0.21932,0.38688,0.34565,0.29534,0.10719,1.77795,3.45047,2.04723,1.58947,0.000312214,0.000312214,0.000312214
32,19506.5,1.26428,1.99392,1.12004,1.16713,0.75626,0.23655,0.30574,0.20754,0.33347,0.29387,0.26054,0.09909,1.80011,3.40815,1.9528,1.62897,0.000296988,0.000296988,0.000296988
33,20058,1.30536,1.96765,1.2503,1.19419,0.79198,0.30862,0.32689,0.21017,0.72047,0.24565,0.28421,0.12101,1.83991,3.42886,1.85814,1.61922,0.000281762,0.000281762,0.000281762
34,20713.6,1.26292,2.02142,1.24564,1.20988,0.79724,0.27887,0.33932,0.22333,0.75085,0.23914,0.30352,0.12921,1.84023,3.55616,2.00326,1.6392,0.000266535,0.000266535,0.000266535
35,21397.1,1.37926,2.06922,1.33563,1.21365,0.73911,0.27821,0.33721,0.22166,0.55218,0.3322,0.39094,0.15157,1.86559,3.66792,2.06643,1.64313,0.000251309,0.000251309,0.000251309
36,22007.6,1.31592,1.93657,1.1199,1.15708,0.64511,0.34706,0.42046,0.22183,0.60176,0.31708,0.40691,0.1478,1.87819,3.7317,2.04933,1.62521,0.000236083,0.000236083,0.000236083
37,22643.7,1.36383,1.93854,1.24238,1.21886,0.69,0.38005,0.42808,0.22398,0.60545,0.31444,0.38401,0.1416,1.86311,3.73594,2.02265,1.66479,0.000220857,0.000220857,0.000220857
38,23242.9,1.17238,1.91232,1.1011,1.11255,0.68847,0.38005,0.4205,0.23456,0.63467,0.32766,0.38769,0.14826,1.82368,3.61834,1.93359,1.62714,0.000205631,0.000205631,0.000205631
39,23946.3,1.16766,1.80425,1.04514,1.14973,0.68037,0.38798,0.41038,0.25538,0.6313,0.33031,0.38304,0.16211,1.747,3.44463,1.85949,1.57033,0.000190404,0.000190404,0.000190404
40,24621.7,1.3331,1.96828,1.1364,1.15997,0.60182,0.39579,0.42281,0.28052,0.56377,0.33296,0.37568,0.18576,1.74148,3.40861,1.86803,1.57647,0.000175178,0.000175178,0.000175178
41,24987.2,1.18733,1.86897,1.12621,1.10529,0.63969,0.39592,0.41669,0.26969,0.79629,0.27163,0.38786,0.17488,1.73232,3.34459,1.9099,1.54333,0.000159952,0.000159952,0.000159952
42,25254.7,1.22999,1.76063,1.20244,1.09576,0.74587,0.31126,0.4168,0.2656,0.76381,0.27028,0.38657,0.16064,1.73311,3.26045,1.92958,1.54957,0.000144726,0.000144726,0.000144726
43,25488.3,1.23653,1.82837,1.13901,1.1534,0.75446,0.30667,0.38073,0.24463,0.74706,0.26237,0.35053,0.14855,1.74432,3.19618,1.94519,1.56273,0.0001295,0.0001295,0.0001295
44,25677.3,1.12467,1.73374,1.02803,1.07249,0.75196,0.30171,0.36746,0.24049,0.71656,0.23286,0.27327,0.13552,1.73264,3.13563,1.93172,1.54323,0.000114273,0.000114273,0.000114273
45,25914.7,1.12955,1.65264,0.98929,1.07067,0.76363,0.29822,0.35219,0.23746,0.73366,0.23816,0.27102,0.13982,1.73154,3.0943,1.88309,1.54463,9.90472e-05,9.90472e-05,9.90472e-05
46,26134,1.16436,1.67712,1.09068,1.13124,0.7742,0.30183,0.35374,0.23627,0.91495,0.23333,0.27951,0.14818,1.74423,3.0855,1.87655,1.55057,8.3821e-05,8.3821e-05,8.3821e-05
47,26350.5,1.19427,1.76335,1.05899,1.08442,0.78684,0.29339,0.37871,0.25978,0.74187,0.24721,0.34244,0.15261,1.73181,3.05867,1.84776,1.53851,6.85948e-05,6.85948e-05,6.85948e-05
48,26579.2,1.15927,1.6846,1.03683,1.14031,0.77831,0.29328,0.38081,0.26147,0.90463,0.24229,0.36302,0.17284,1.69975,3.04898,1.82845,1.5139,5.33686e-05,5.33686e-05,5.33686e-05
49,26797.9,1.09584,1.62133,0.91331,1.14517,0.93755,0.26396,0.37994,0.2617,0.90697,0.24506,0.36323,0.16467,1.68994,3.05753,1.82512,1.50984,3.81424e-05,3.81424e-05,3.81424e-05
50,27047.1,1.07262,1.55069,0.94738,1.0673,0.95149,0.26152,0.38523,0.26079,0.91319,0.24338,0.36451,0.16486,1.69218,3.0546,1.81483,1.5037,2.29162e-05,2.29162e-05,2.29162e-05
