epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.929,2.32884,4.56055,9.36055,2.02959,0.04077,0.02116,0.01761,0.01019,0.00839,0.02834,0.00343,0.00116,1.97341,3.66987,15.9273,1.91547,0.000273039,0.000273039,0.000273039
2,443.76,2.0023,3.51263,8.76083,1.70565,0.43088,0.01058,0.00385,0.00156,0.43084,0.00529,0.00028,4e-05,1.98682,3.85786,9.40287,1.89234,0.000441666,0.000441666,0.000441666
3,659.529,2.11032,3.23422,8.31784,1.80086,0.0132,0.2291,0.0156,0.00592,0.004,0.00265,0.00231,0.00069,2.08938,4.56791,7.10758,2.03606,0.000500337,0.000500337,0.000500337
4,872.86,2.05656,3.28379,7.65935,1.76237,0.00901,0.26591,0.03721,0.02074,0.00293,0.04444,0.00219,0.00044,1.90579,4.06242,7.17865,1.80137,0.000338198,0.000338198,0.000338198
5,1084.92,1.99404,3.13981,6.86179,1.68537,0.01998,0.27385,0.14534,0.07592,0.01365,0.03915,0.00961,0.00107,1.82581,3.83007,5.06939,1.76307,0.000173264,0.000173264,0.000173264
